TOPIC,SUBTOPIC,Consideration For (Inputs),Activity,Outcomes (see comment),Milestone Indicator (Outputs),Participants,Participant Group,Method,Exemplar@SUNY,Guiding documents
PA.1 Types of Processed Data,"PA.1.1 Tables, spreadsheets",GA.1,,Dataset preserved and archived following best practices for type of data,,Researcher,SME and Implementers,,,"[""Data Curation Primers by Type of Data""|https://github.com/DataCurationNetwork/data-primers/tree/main ]"
Classifications or categories of data,"PA.1.2 Charts, graphs",GA.1,,,,,,,,
,"PA.1.3 Maps, vectors, images",GA.1,,,,,,,,
,PA.1.4 Instrument outputs,GA.1,,,,,,,,
,PA.1.5 Dynamic data,GA.1,,,,,,,,
,PA.1.6 Datasets from models and simulations,GA.1,,,,,,,,
,"PA.1.7 Structured data, e.g., hierarchical organization",GA.1,,,,,,,,
PA.2 Preparation and Pre-Processing Methods,PA.2.1 Data cleaning,PA.2,,Follow best practices for preparing and processing data,,Researcher,SME and Implementers,,,"[""Data Cleaning: Detecting; Diagnosing; and Editing Data Abnormalities""|https://doi.org/10.1371/journal.pmed.0020267 ]; [""Anonymization Techniques for Privacy Preserving Data Publishing: A Comprehensive Survey""|https://ieeexplore.ieee.org/document/9298747 ]; [""Data Curation Primers by Type of Data""|https://github.com/DataCurationNetwork/data-primers/tree/main ]"
Techniques by which raw data are transformed into complete datasets with consistent formatting such that data analysis can subsequently be performed.,"PA.2.2 De-identification, anonymization",PA.2,,,,,,,,
,PA.2.3 Amputation and imputation,PA.2,,,,,,,,
,PA.2.4 Aggregation,PA.2,,,,,,,,
,PA.2.5 Validation and verification,PA.2,,,,,,,,
,PA.2.6 Curation,PA.2,,,,,,,,
,PA.2.7 Normalization of metadata,PA.2,,,,,,,,
PA.3 Analysis,PA.3.1 Manual,PA.3,,Factors related to analysis methods and their effect on processed data and original raw data are determined,,,,,,
,PA.3.2 Exploratory,PA.3,,,,,,,,
,PA.3.3 Descriptive,PA.3,,,,,,,,
,PA.3.4 Diagnostic,PA.3,,,,,,,,
,PA.3.5 Evaluative,PA.3,,,,,,,,
,PA.3.6 Predictive,PA.3,,,,,,,,
,PA.3.7 Prescriptive ,PA.3,,,,,,,,
,PA.3.8 Correlational,PA.3,,,,,,,,
,PA.3.9 Statistical ,PA.3,,,,,,,,
,"PA.3.10 Automated, autonomous",PA.3,,,,,,,,
PA.4 Modeling,PA.4.1 Visualization,PA.4,,,,,,,,
,"PA.4.2 ML, AI",PA.4,,,,,,,,
,PA.4.3 Iterative model fitting,PA.4,,,,,,,,
,"PA.4.4 Integrated development environments, e.g., Jupyter, RStudio",PA.4,,,,,,,,
PA.5 Metadata,PA.5.1 Types of metadata,PA.5,,,,,,,,
"""Data about data,"" i.e., data that define and describe the characteristics of other data [1]",PA.5.2 Responsible parties,PA.5,,,,,,,,
,PA.5.3 Specification of metadata standards ,PA.5,,,,,,,,
,PA.5.4 Linked data structure,PA.5,,,,,,,,
,"PA.5.5 Persistent identifiers (e.g., DOI, ORCID, ARK, ROR, PIDINST, Handles)",,,"Persistent identifiers used when possible (e.g., DOI, ORCID, ARK, ROR, PIDINST, Handles)",,,,,,
PA.6 Provenance,PA.6.1 Original authoritative copy,GA.6.5,,,,,,,,
"Historical information on metadata, such as the origin, location, or source of the data, or on the ownership or location of an object or resource [1]",PA.6.2 Version identification,GA.6.5,,,,,,,,
,PA.6.3 Derivative product,GA.6.5,,,,,,,,
,PA.6.4 Aggregation,GA.6.5,,,,,,,,
,PA.6.5 Subset,GA.6.5,,,,,,,,
,PA.6.6 Timestamp,GA.6.5,,,,,,,,
,PA.6.7 CRediT taxonomy,"P.11.2, GA.6.5",,,,,,,,
PA.7 Software,PA.7.1 Commercial vs custom,"PA.7, P.8",,,,,,,,
A program used in performing an activity to produce a product or result [1],PA.7.2 Open-source vs proprietary,"PA.7, P.8",,,,,,,,
,PA.7.3 Aggregation tools,"PA.7, P.8",,,,,,,,
,PA.7.4 Surveying tools,"PA.7, P.8",,,,,,,,
,PA.7.5 Statistical tools,"PA.7, P.8",,,,,,,,
,PA.7.6 Calculation and analysis tools,"PA.7, P.8",,,,,,,,
,PA.7.7 APIs,"PA.7, P.8",,,,,,,,
,PA.7.8 Database management tools,"PA.7, P.8",,,,,,,,
,PA.7.9 Testing and validation tools,"PA.7, P.8",,,,,,,,
,PA.7.10 Documentation,"PA.7, P.8",,,,,,,,
,PA.7.11 Reproducibility and uncertainty quantification,"PA.7, P.8",,,,,,,,
,PA.7.12 Versioning and maintenance,"PA.7, P.8",,,,,,,,
,PA.7.13 Systems resilience and adaptability,"PA.7, P.8",,,,,,,,
,PA.7.14 Source code repository,"PA.7, P.8",,,,,,,,
,PA.7.15 Security and software updates,PA.7,,,,,,,,
,"PA.7.16 Standards, protocols, and interfaces ","PA.7, P.8",,,,,,,,
PA.8 Workflows and Middleware,PA.8.1 LIMS,PA.8,,,,,,,,
"A set of chained operations, e.g., scripts that can involve several ""ingredients"" such as data, programs, models and other inputs, e.g., human and sensor observations; software that performs communication and input/output [1]","PA.8.2 Laboratory notebooks, e.g., electronic and paper",PA.8,,,,,,,,
,PA.8.3 Tools for automated metadata capture,PA.8,,,,,,,,
,PA.8.4 Anomaly detection and correction tools,PA.8,,,,,,,,
,PA.8.5 Collaboration tools,PA.8,,,,,,,,
,PA.8.6 Decisions regarding the need for additional data,PA.8,,,,,,,,
,PA.8.7 Process monitoring and evaluation,PA.8,,,,,,,,
,PA.8.8 Containerization,PA.8,,,,,,,,
,PA.8.9 Reusable workflow component,PA.8,,,,,,,,
,PA.8.10 Microservices,PA.8,,,,,,,,
,PA.8.11 Distributed workflow across sites,PA.8,,,,,,,,
,PA.8.12 Comprehensive report generation,PA.8,,,,,,,,
PA.9 Hardware,PA.9.1 Compute requirements,"PA.9, P.8",,,,,,,,
Physical equipment used in the production of research data,PA.9.2 Storage requirements,"PA.9, P.8",,,,,,,,
,PA.9.3 Network requirements,"PA.9, P.8",,,,,,,,
,PA.9.4 Accelerator requirements,"PA.9, P.8",,,,,,,,
"SUR.1 Publishing
","SUR.1.1 Repository, i.e., domain, generalist, institutional",SUR.1,,Factors related to publishing outputs from research projects are considered and addressed,,,,,,
"Releasing research data, associated metadata, accompanying documentation, and software code (in cases where the raw data have been processed or manipulated) for re-use and analysis in such a manner that these data objects can be discovered on the Web and referred to in a unique and persistent way [1]",SUR.1.2 Data papers,SUR.1,,,,,,,,
,SUR.1.3 Software,SUR.1,,,,,,,,
,SUR.1.4 Updates to datasets and new software versions,SUR.1,,,,,,,,
,SUR.1.5 Data linking,SUR.1,,,,,,,,
,SUR.1.6 Persistent identifier,SUR.1,,,,,,,,
,SUR.1.7 Metadata,SUR.1,,,,,,,,
,SUR.1.8 Integrity of data,SUR.1,,,,,,,,
,SUR.1.9 Quality measures and assessment vis-à-vis fit for purpose,SUR.1,,,,,,,,
,SUR.1.10 Peer review of datasets and metadata,SUR.1,,,,,,,,
,SUR.1.11 Reference data/digital objects in journal articles ,SUR.1,,,,,,,,
,SUR.1.12 Curation,SUR.1,,,,,,,,
,SUR.1.13 Publisher agreements and policies,SUR.1,,,,,,,,
,SUR.1.14 Incentives for data publishing,"SUR.1, E.3.8",,,,,,,,
,SUR.1.15 Mitigation of disincentives for data publishing,SUR.1,,,,,,,,
"SUR.2 Modes of Dissemination
",SUR.2.1 Traditional journal article,SUR.2,Consider where research project outputs will be published.,Outputs from research are published through appropriate modes.,,,,,,
Methods and platforms for distributing data,SU2.1.2 Supplementary material,SUR.2,,,,,,,,
,SUR.2.3 On request,SUR.2,,,,,,,,
,SUR.2.4 Data landing page,SUR.2,,,,,,,,
,SUR.2.5 Workflow,SUR.2,,,,,,,,
,"SUR.2.6 Mainstream media, e.g., newspapers, radio",SUR.2,,,,,,,,
,"SUR.2.7 Social media, e.g., Twitter, Instagram",SUR.2,,,,,,,,
SUR.3 Attribution,SUR.3.1 Citation metrics,SUR.3,,All resources and data are cited appropriately as to the extend possible in published outputs,,"IT, Library, Researcher",SME and Implementers,,,
Offers proper recognition to authors as well as permanent identification through the use of global persistent identifiers in place of URLs which can change frequently [1],SUR.3.2 Citation impact,SUR.3,,,,,,,,
,SUR.3.3 Dataset citation,SUR.3,Cite research datasets and share prefered dataset citation,Datasets can be and are cited in research outputs,,Researcher,SME and Implementers,,,"[""Make Data Count: Data usage""| https://makedatacount.org/data-usage/]"
,SUR.3.4 Provenance,SUR.3,,,,,,,,
,SUR.3.5 Author identity management,SUR.3,,,,,,,,
,SUR.3.6 Use of persistent identifiers,"SUR.3, PA.5",,,,,,,,
,SUR.3.7 Versioning,SUR.3,,,,,,,,
SUR.4 Modes of Sharing,SUR.4.1 Standardized formats,SUR.4,,"When possible, data is shared in standard formats, in public repositories, and discoverable",,,,,,
Locations and forms in which data sharing occurs,SUR.4.2 Interoperability tools,SUR.4,,,,,,,,
,SUR.4.3 Discovery platform,SUR.4,,,,,,,,
,SUR.4.4 Catalog,SUR.4,,,,,,,,
,SUR.4.5 Registries of repositories,SUR.4,,"Appropriate repository is determined to for data deposit to facilitate future access (institutional repository, shared repository, domain-specific or generalist)",,"IT, Library, Researcher",SME and Implementers,,,"[""Registry of Research Data Repositories"" | https://www.re3data.org/]"
SUR.5 Access,SUR.5.1 Internal access,SUR.5,,Levels of access to research outputs are appropriate to project,,,,,,
"The continued, available for use, ongoing usability of a digital resource",SUR.5.2 External access,SUR.5,,,,,,,,
,"SUR.5.3 Programmatic access, i.e., API",SUR.5,,,,,,,,
,SUR.5.4 Virtual and physical enclaves,SUR.5,,,,,,,,
,SUR.5.5 Access vs visiting,SUR.5,,,,,,,,
,SUR.5.6 Availability statement,SUR.5,,,,,,,,
,SUR.5.7 Mitigation of barriers and economic constraints,SUR.5,,,,,,,,
SUR.6 Legal and Licenses,SUR.6.1 Ownership,SUR.6,,"Data shared, used, or reused follows appropriate legal requirements",,,,,,
Legal and regulatory issues as pertaining to research data,"SUR.6.2 Encouragement and support for sharing, use, and reuse",SUR.6,,,,,,,,
,SUR.6.3 Indigeneous data rights,"SUR.6, E.3.10",,,,,,,,
,SUR.6.4 Intellectual property rights/restrictions,SUR.6,,,,,,,,
,SUR.6.5 Usage agreements/terms/licenses and required permissions,SUR.6,,,,,,,,
,SUR.6.6 Data sharing agreements and licensing,SUR.6,,,,,,,,
,SUR.6.7 Service-level agreements,SUR.6,,,,,,,,
,SUR.6.8 Terms of service ,SUR.6,,,,,,,,
,"SUR.6.9 Standardized, machine-actionable license documents",SUR.6,,,,,,,,
,SUR.6.10 Citation requirements,SUR.6,,,,,,,,
SUR.7 Levels of Protection,SUR.7.1 Unclassified but sensitive information,SUR.7,,"Data shared, used, or reused is regulated as appropriate",,,,,,
Definitions of who has access to what data and based on what criteria,SUR.7.2 Security classification,SUR.7,,,,,,,,
,SUR.7.3 Protection of limited data/secure platforms/enclaves,SUR.7,,,,,,,,
,SUR.7.4 Constraints and restrictions on data use and sharing,SUR.7,,,,,,,,
,SUR.7.5 Anonymization,SUR.7,,,,,,,,
"SUR.8 Architectures for Application, Use, and Reuse","SUR.8.1 Extensibility across communities, including machine-based interactions",SUR.8,,,,,,,,
,SUR.8.2 Capture of insights from ML and use of these to improve datasets for future AI applications,SUR.8,,,,,,,,
,SUR.8.3 Capture of data performance characteristics,SUR.8,,,,,,,,
,SUR.8.4 Location of data,SUR.8,,,,,,,,
,SUR.8.5 Migration strategies and mitigation against data loss,SUR.8,,,,,,,,
,SUR.8.6 Economic impact of reuse,SUR.8,,,,,,,,
PD.1 Criteria for Preservation,PD.1.1 Use,PD.1,,"Research data is selected for curation and preservation considering factors of use, impact, value, uniqueness, cost, provenance, and legal requirements",,"Librarians, Researchers",SME and Implementers,,,"[""How to Appraise and Select Research Data for Curation"" | https://www.dcc.ac.uk/guidance/how-guides/appraise-select-data]"
Quantitative and qualitative metrics used to assess the need for long-term retention of data.,PD.1.2 Impact,PD.1,,,,,,,,
,PD.1.3 Value,PD.1,,,,,,,,
,PD.1.4 Uniqueness,PD.1,,,,,,,,
,PD.1.5 Cost,PD.1,,,,,,,,
,PD.1.6 Provenance,PD.1,,,,,,,,
,PD.1.7 Legal and regulatory,PD.1,,,,,,,,
"PD.2 Sustainability
",PD.2.1 Longevity and support ,PD.2,,Preservation method for appropriate datasets is sustainable and funded,,,,,,"[""Library of Congress Sustainability of Digital Formats"" | https://www.loc.gov/preservation/digital/formats/content/dataset.shtml]"
Longevity of the data infrastructure and data management systems,PD.2.2 Funding models,PD.2,,,,,,,,
,PD.2.3 Business models,PD.2,,,,,,,,
"PD.3 Storage and Preservation
",PD.3.1 Media to store and preserve data,PD.3,,Storage and preservation method for appropriate datasets is appropriate,,,,,,
"How data are stored, backed-up, and preserved",PD.3.2 File integrity,PD.3,,,,,,,,
,PD.3.3 Ability to do advanced searches,PD.3,,,,,,,,
,PD.3.4 Backup and recovery,PD.3,,,,,,,,
PD.4 Moving Data from One Service to Another across Organizations  ,PD.4.1 Roles and responsibilities ,PD.4,,Roles and responsibilities for data when transfering between locations are assigned,,"IT, Library, Researcher",SME and Implementers,,,
,PD.4.2 Registry maintenance and curation,PD.4,,,,,,,,
,PD.4.3 Disciplinary archives,"PD.4, SUR.1",,,,,,,,
"PD.5 Retention and Disposition Schedules
","PD.5.1 Technical decisions, e.g., data archiving",PD.5,,"Retention period for data is assigned at time of publication and appropriate (10 years, permanent, etc.)",,,,,,
A plan of action that indicates the period of time to retain records,PD.5.2 Administrative/policy decisions,PD.5,,Retention and disposition schedules assign retention periods for datasets and policies to apply retention periods exist and are enforced,,,,,,
,PD.5.3 Deaccessioning/end-of-life,PD.5,,Data that has past it's retention period can be removed from repository. Assign retention period before publication,,,,,,
,PD.5.4 Legal documents,PD.5,,,,,,,,
,PD.5.5 End-of-life special considerations,PD.5,,Archival data is preserved following archival guidelines and retention schedules.,,,,,,
,"PD.5.6 Recognition of removed data, i.e., tombstone page",PD.5,,Data removed from a repository is indicated through metadata,,,,,,
